;type_A;type_B;min_levelset;max_levelset;w_number;m_a;eta_t;k;mt_a;sigma_a;threshold;eta_s;eta_a;z_score;p_value;distance_association;proba
164;BnT;MacCD163;200;250.0;4;87.0;4.0;46.97235772357723;7.408612572694545;31.939166643067857;162.21098983268004;0.0;-0.0;-1.2532462954887538;;943.7441373924706;False
165;BnT;MacCD163;250;300.0;5;97.0;6.0;70.45853658536585;8.260177236222653;33.721910924838824;176.40903180255862;0.0;-0.0;-0.7870687836697976;;943.7441373924706;False
166;BnT;MacCD163;300;400.0;6;244.0;25.0;293.5772357723577;20.77817779008585;53.41547536182826;369.78383209688997;0.0;0.0;0.9281436781481228;;943.7441373924706;False
167;BnT;MacCD163;400;500.0;7;313.0;33.0;387.5219512195122;26.6539739684298;60.46217489882361;455.377541417917;0.0;0.0;1.2325383819589018;;943.7441373924706;False
168;BnT;MacCD163;500;600.0;8;390.0;35.0;411.0081300813008;33.21102187759623;67.44546125502026;548.8219241096799;0.0;0.0;0.3114832294180074;;943.7441373924706;False
169;BnT;MacCD163;600;700.0;9;403.0;41.0;481.46666666666664;34.318055940182774;68.55257166073942;564.4289698851298;0.0;0.0;1.1446203222687428;;943.7441373924706;False
170;BnT;MacCD163;700;800.0;10;493.0;48.0;563.6682926829268;41.98213791193575;75.76241077327768;671.4068435487831;0.0;0.0;0.9327619324892491;;943.7441373924706;False
171;BnT;MacCD163;800;900.0;11;502.0;68.0;798.530081300813;42.74854610911105;76.4448204203901;682.0137954647258;68.0;25.251453890888953;3.8790081482318404;;943.7441373924706;False
172;BnT;MacCD163;900;1000.0;12;501.0;65.0;763.30081300813;42.66338964275824;76.36930889737981;680.8359794167104;65.0;22.33661035724176;3.4346364631974486;;943.7441373924706;False
173;BnT;MacCD163;1000;1100.0;13;481.0;73.0;857.2455284552846;40.96026031570202;74.84251079943957;657.2406446509656;73.0;32.03973968429798;5.027163365263555;;943.7441373924706;False
174;BnT;MacCD163;1100;1200.0;14;526.0;68.0;798.530081300813;44.79230130157851;78.23445584460094;710.228064834955;68.0;23.20769869842149;3.4835045295406193;;943.7441373924706;False
175;BnT;MacCD163;1200;inf;15;53451.0;4425.0;51963.170731707316;4551.698283024093;216.76463154261324;53961.441699410294;0.0;-0.0;-6.863800877959166;;943.7441373924706;False
176;BnT;Neutrophil;0;50.0;0;84614813.0;0.0;0.0;613638.9962441152;;;0.0;-0.0;;;0.0;False
